POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
365023-1,NonThreat,Caloncoba welwitschii (Oliv.) Gilg,3878245,Plantae,Tracheophyta,Malpighiales,Achariaceae,Caloncoba,Caloncoba welwitschii,Gilg,ACCEPTED,3878245,;,12,15,3949165.708,106,230,54768.71327,6.169250559
365025-1,Threat,Camptostylus kivuensis Bamps,3878218,Plantae,Tracheophyta,Malpighiales,Achariaceae,Camptostylus,Camptostylus kivuensis,Bamps,ACCEPTED,3878218,;,1,1,2554.597551,3,5,127181,5.540234197
365027-1,NonThreat,Camptostylus mannii (Oliv.) Gilg,3878205,Plantae,Tracheophyta,Malpighiales,Achariaceae,Camptostylus,Camptostylus mannii,Gilg,ACCEPTED,3878205,;,9,8,563316.5584,79,192,60678.2163,5.93436577
365028-1,Threat,Camptostylus ovalis (Oliv.) Chipp,3878194,Plantae,Tracheophyta,Malpighiales,Achariaceae,Camptostylus,Camptostylus ovalis,Chipp,ACCEPTED,3878194,;,2,4,19360.82613,14,54,17618.13066,9.89296392
365284-1,NonThreat,Dasylepis blackii (Oliv.) Chipp,7375435,Plantae,Tracheophyta,Malpighiales,Achariaceae,Dasylepis,Dasylepis blackii,Chipp,ACCEPTED,7375435,;,5,4,195782.1461,8,14,13870.29143,7.779443435
365287-1,Threat,Dasylepis eggelingii J.B.Gillett,8071523,Plantae,Tracheophyta,Malpighiales,Achariaceae,Dasylepis,Dasylepis eggelingii,J.B.Gillett,ACCEPTED,8071523,;,2,2,10354.14382,12,13,115920.7891,5.921601084
365292-1,NonThreat,Dasylepis seretii De Wild.,7743412,Plantae,Tracheophyta,Malpighiales,Achariaceae,Dasylepis,Dasylepis seretii,De Wild.,ACCEPTED,7743412,;,5,5,368896.2507,13,29,70293.33001,6.312789266
365332-1,Threat,Eleutherandra pes-cervi Slooten,3880160,Plantae,Tracheophyta,Malpighiales,Achariaceae,Eleutherandra,Eleutherandra pes-cervi,Slooten,ACCEPTED,3880160,;,2,2,0,2,2,146957.9872,7.777971387
365333-1,NonThreat,Erythrospermum acuminatissimum (A.Gray) A.C.Sm.,3880134,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum acuminatissimum,A.C.Sm. (A.Gray),ACCEPTED,3880134,;,2,3,81234.45974,5,6,383.0951278,10.63639167
365334-1,NonThreat,Erythrospermum candidum (Becc.) Becc.,3880094,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum candidum,Becc.,ACCEPTED,3880094,;,6,7,558702.5544,38,88,72067.99712,6.26422616
365609-1,NonThreat,Hydnocarpus anomalus (Merr.) Sleumer,3878308,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus anomalus,Sleumer (Merr.),ACCEPTED,3878308,;,1,2,12247.3722,8,15,160553,5.887828653
365613-1,NonThreat,Hydnocarpus calophyllus (Ridl.) Sleumer,3878269,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus calophyllus,Sleumer (Ridl.),ACCEPTED,3878269,;,1,1,47012.51146,3,7,160553,5.887828653
365621-1,Threat,Hydnocarpus gracilis (Slooten) Sleumer,3878166,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus gracilis,Sleumer (Slooten),ACCEPTED,3878166,;,1,1,0,1,5,125591,10.74866778
