POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
111762-1,Insufficient Data,Hydnocarpus scortechinii King,3877918,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus scortechinii,King,ACCEPTED,3877918,;No TDWG distribution data,,,,,,,
365644-1,Insufficient Data,Hydnocarpus subfalcata Merr.,3877886,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus subfalcatus,Merr.,ACCEPTED,3877886,;No TDWG distribution data,,,,,,,
365646-1,Insufficient Data,Hydnocarpus sumatrana (Miq.) Koord.,3877871,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus sumatranus,Koord.,ACCEPTED,3877871,;No TDWG distribution data,,,,,,,
365648-1,Insufficient Data,Hydnocarpus tenuipetalus Sleumer,3877860,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus tenuipetalus,Sleumer,ACCEPTED,3877860,;No TDWG distribution data,,,,,,,
365650-1,Insufficient Data,Hydnocarpus verrucosus C.E.Parkinson & C.E.C.Fisch.,3880520,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus verrucosus,C.E.Parkinson & C.E.C.Fisch.,ACCEPTED,3880520,;No TDWG distribution data,,,,,,,
365651-1,Insufficient Data,Hydnocarpus woodii Merr.,7914698,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus woodii,Merr.,ACCEPTED,7914698,;No TDWG distribution data,,,,,,,
111767-1,Insufficient Data,Hydnocarpus wrayi King,3880492,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus wrayi,King,ACCEPTED,3880492,;No TDWG distribution data,,,,,,,
365653-1,Insufficient Data,Hydnocarpus yatesii Merr.,3880486,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus yatesii,Merr.,ACCEPTED,3880486,;No TDWG distribution data,,,,,,,
140491-2,Insufficient Data,Lindackeria nitida Killip & R.E.Schult.,3879636,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria laurina,Killip & R.F.Schult.,SYNONYM,3879668,GBIF matched name not treated as accepted;No TDWG distribution data,,,,,,,
140495-2,Insufficient Data,Lindackeria vageleri Burret,3879549,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria paludosa,Burret,SYNONYM,3879608,GBIF matched name not treated as accepted;No TDWG distribution data,,,,,,,
365279-1,Insufficient Data,Chlorocarpa pentaschista Alston,3878290,Plantae,Tracheophyta,Malpighiales,Achariaceae,Chlorocarpa,Chlorocarpa pentaschista,Alston,ACCEPTED,3878290,No GBIF points,,,,,,,
111587-1,Insufficient Data,Erythrospermum coffeaefolium Baill.,7735978,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum coffeaefolium,Baill.,ACCEPTED,7735978,No GBIF points,,,,,,,
111618-1,Insufficient Data,Erythrospermum recurvifolium Baker,3879801,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum recurvifolium,Baker,ACCEPTED,3879801,No GBIF points,,,,,,,
365338-1,Insufficient Data,Erythrospermum zeylanicum (Gaertn.) Alston,3879749,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum zeylanicum,Alston (Gaertn.),ACCEPTED,3879749,No GBIF points,,,,,,,
365614-1,Insufficient Data,Hydnocarpus calvipetalus Craib,3878259,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus calvipetalus,Craib,ACCEPTED,3878259,No GBIF points,,,,,,,
77144979-1,Insufficient Data,"Hydnocarpus longipedunculatus Robi, Sasidh. & Jose",7513834,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus longipedunculatus,"Robi, Sasidh. & Jose",ACCEPTED,7513834,No GBIF points,,,,,,,
77127637-1,Insufficient Data,"Hydnocarpus pendulus Manilal, T.Sabu & Sivar.",7468633,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus pendulus,"Manilal, T.Sabu & Sivar.",ACCEPTED,7468633,No GBIF points,,,,,,,
365641-1,Insufficient Data,Hydnocarpus saigonensis Pierre ex Gagnep.,3877924,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus saigonensis,Pierre ex Gagnep.,ACCEPTED,3877924,No GBIF points,,,,,,,
366141-1,Insufficient Data,Xylotheca capreifolia (Baker) Gilg,8227009,Plantae,Tracheophyta,Malpighiales,Achariaceae,Xylotheca,Xylotheca capreifolia,Gilg (Baker),ACCEPTED,8227009,No GBIF points,,,,,,,
366148-1,Insufficient Data,Xylotheca longipes (Gilg) Gilg,7966851,Plantae,Tracheophyta,Malpighiales,Achariaceae,Xylotheca,Xylotheca longipes,Gilg,ACCEPTED,7966851,No GBIF points,,,,,,,
111747-1,Insufficient Data,Hydnocarpus heterophylla Blume,3878146,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus heterophyllus,Blume,ACCEPTED,3878146,;No GBIF points in range,1,,,,,,
111748-1,Insufficient Data,Hydnocarpus ilicifolia King,3878122,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus ilicifolius,King,ACCEPTED,3878122,;No GBIF points in range,1,,,,,,
47693-2,Insufficient Data,Carpotroche froesiana Sleumer,3878050,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche froesiana,Sleumer,ACCEPTED,3878050,;No GBIF points in range,1,,,,,,
365612-1,Insufficient Data,Hydnocarpus borneensis Sleumer,3878273,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus borneensis,Sleumer,ACCEPTED,3878273,;No TDWG distribution data,,,,,,,
111765-1,Insufficient Data,,,,,,,,,,,,;No GBIF points in range,,,,,,,
