 Family,AcceptedSpecies,Threatened,NotThreatened,Insufficient info
Acanthaceae Juss.,,,,
Achariaceae Harms,,,,
Achatocarpaceae Heimerl,,,,
Acoraceae Martinov,,,,
Actinidiaceae Engl. & Gilg,,,,
Aextoxicaceae Engl. & Gilg,,,,
Aizoaceae Martinov,,,,
Akaniaceae Stapf,,,,
Alismataceae Vent.,,,,
Alseuosmiaceae Airy Shaw,,,,
Alstroemeriaceae Dumort.,,,,
Altingiaceae Horan.,,,,
Alzateaceae S.A.Graham,,,,
Amaranthaceae Juss.,,,,
Amaryllidaceae J.St.-Hil.,,,,
Amborellaceae Pichon,,,,
Anacampserotaceae Eggli & Nyffeler,,,,
Anacardiaceae R.Br.,,,,
Ancistrocladaceae Planch. ex Walp.,,,,
Anemiaceae,,,,
Anisophylleaceae Ridl.,,,,
Annonaceae Juss.,,,,
Aphanopetalaceae Doweld,,,,
Aphloiaceae Takht.,,,,
